full_text,filtered
Pengen pindah kerja dg alasan jarak krn jarak tempat kerja yg skrg mayan jauh pengen pindah deket rumah tapi gaji nya lebih rendah... Dilema.. ,jarak jarak tempat lumayan jauh dekat rumah gaji rendah dilema
NAK TUKAR KERJAYA? PREPARE 6 PERKARA NI. 1- Bersedia untuk dapat gaji yang lebih rendah. 2- Research pasal jawatan tu 3- Set satu matlamat 4- Kembangkan skills 5- Customise resume 6- Sediakan jawapan bila ditanya kenapa nak tukar kerjaya masa dalam interview nanti. ,tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar
Jadi inget pernah resign dgn alasan (salah satunya) gaji kurang sdgkn udah harus kontribusi ke keuangan keluarga. Alasan gue ga diterima. Lalu kata sang direktur Gue ga peduli keluarga lo. Yang gue peduli ya perusahaan gue. LAH YA IYA KALO SAYA PERGI KAN WIN WIN SOLUTION,salah gaji kurang kontribusi uang keluarga sang direktur peduli keluarga peduli pergi
@hrdbacot Gue benci bgt sama bos di kantor yg lama karena menurut gue dia marahnya tuh gamasuk akal dan bikin mental down. Dari pada gue bertahan terus dan toxic yauda gue resign. Dan gue ga menyesal sama sekali malah feel free. Skrg dapet bos baik bgt Alhamdulillah.,benci kantor marah akal mental tahan jahat sesal
@hrdbacot nekad resign tanpa offering di tempat lain karena bos terlalu toxic temen kantor yg makin hari makin ga suportif kerja budak sistem kantor ancur ditambah penghasilan ga seberapa. paling kesel uang keperluan kantor gue yang nombok pas minta reimburse katanya tolong diikhlasin,nekad tempat jahat teman kantor suportif budak sistem kantor hancur hasil kesel uang kantor tolong
@hrdbacot Aku pindah malah turun gaji 50% min alasan pindah lingkugan kerja rekan kerja dan lingkungan tempat kos dulu toxic banget ga ga bikin betah. Sekarang walaupun gaji turun tp lingkungan alhamdulillah enak.,turun gaji rekan tempat jahat betah gaji turun enak
Mau numpang curhat lagi.. Misalnya aku udah keterima kerja di bidang yg baru dengan offering salary yg mirip sama salary yg kudapat sekarang ambil gak? Sekarang di bdg keterima di jkt. Alasan pengen pindah : gabisa naik gaji gak ada jenjang karir pengen pengalaman (cont..),curhat bidang gaji gaji ambil jakarta naik gaji jenjang karir alam
Selain gaji apa alasan lo pengin pindah tempat kerja?,gaji tempat
Sebenernya alasan paling mumpuni buat pindah kerja itu ya : kalau ngga ada kesempatan karier ngga ngerasa bisa berkontribusi ngga bisa berkembang dan ngga punya kesempatan buat networking.,mumpuni karier rasa kontribusi kembang
@hrdbacot Temanku resign sbg manager waktu pandemi u/ mempertahankan karyawan lainnya. Katnya dia pikir dr pada karyawan lain hrus dirumahkan mending dia krn salarynya bs menutup beberp gji kryawan itu dan ngasih kesmptan jg asistenya untuk brkembang krn outo akan mengmbil wilyh kerjanya,teman manager waktu pandemi tahan karyawan karyawan rumah mending tutup gaji asih
@SyukBagiKerja Saya baru 2 3 bulan stres rasa nak resign. Tup tup jadi 2 tahun kerja situ. Sebab fikir perlunya duit. Masa itu sudah kalis toxic dan handle stress with care dan juga membaca 55 Petua Seronoknya Bekerja https://t.co/DJEmdtaWE9,stres rasa situ fikir duit kalis jahat stres baca seronok
Tiada kenaikan gaji masalah pengurusan bebanan kerja yang banyak kekurangan fleksibiliti dan kewangan yang tidak sihat juga merupakan faktor mereka ingin berhenti. #AWANInews #AWANIpagi https://t.co/fQ6i9568PE,tiada naik gaji masalah urus beban kurang wang sehat rupa faktor henti
Sekarang rata rata durasi kerja di satu perusahaan ada yg 3thn aja pindah pindah dgn alasan ingin meningkatkan gaji meskipun diri tdk ada value / skill yg kompoten dibidang nya.,durasi tingkat gaji bidang
dan tanpa alasan yang memang urgen dan ga bisa ditawar (misalnya toxic environment di tempat kerja) ini akan jadi red flag bagi employer bahwa nih orang ga loyal. Buat apa diterima di perusahaan kalo emang dia kutu loncat. Buang-buang hiring dan onboarding budget.,urgen tawar jahat tempat loyal kutu loncat
Alasan klasik pindah kerja karena gaji kecil dan lebih miris lagi sekelar strata satu ketrima sebagai outsource. Akhirnya berkompromi dengan diri sendiri setelah ngrasa udah dapet ilmunya akhirnya nyoba apply di cargill. Kalo ga salah hampir tiga kali nyoba dan ketrima !,klasik gaji kecil miris kelar strata kompromi ilmu salah
I let go kerjaan yang bayarannya bisa sampai di atas 70 juta sebulan because I felt no joy in doing it begadang nyaris setiap hari bahkan pernah dalam 4 hari tidur cuma 1-2 jam. At the end of the day I ve come to realized: I work to live not I live to work.,bayar juta begadang tidur come
@hrdbacot Pernah resign tanpa ada back up job lain gegara sayang mental sih. Lingkungan toxic over work lembur ga pernah dibayar dan weekend masih diribetin urusan kantor. Resign bulan Agustus dan baru dapet kerja lagi di bulan Januari. Note: Pastikan punya tabungan yg cukup sblm resign.,sayang mental jahat over lembur bayar urus kantor agustus januari pasti tabung cukup
@hrdbacot Kalo saya jawaban2 ini yg saya harapkan: - Saya mau coba kembangkan diri &amp; skill di tempat yg berbeda. - Saya ingin mencari suasana baru. - Saya merasa tertantang bekerja di tempat ini/dengan team Anda. - Saya ingin menambah pengalaman. - Saya ingin memperluas networking saya.,harap kembang tempat beda suasana rasa tantang tempat alam luas
dengan bos gue dulu dengan menunjukkan juga loyalitas dan hasil kerja gue yang sesuai dengan ekspektasinya dia. Kalo lo pindah-pindah tiap ada tawaran gaji lebih tinggi elo akan melewatkan kesempatan lo membangun kepecayaan seperti ini. Lo akan sulit berkembang jauh.,loyalitas hasil sesuai tawar gaji bangun sulit kembang jauh
Kadang suka kesel sendiri kalo ngomongin duit sama kerja bedua nyokap gua lagi yg kena. Padahal anaknya kan bukan gua doang malah punya anak lakik. Gua kalo lagi ga hamil pasti kerja kok. Alasan gua pengen pindah keluar kota tuh simple biar jauh dr toxic hidup.,kadang suka kesel omong duit nyokap kena doang laki hamil pasti jauh jahat hidup
 Nyari gaji yang lebih gede adalah alasan super valid untuk pindah kerja. Ini nggak perlu dijudge macam-macam.,gaji besar super valid
Antara sebab kenapa ramai berhenti kerja selain dari gaji: 1- Kurang dihargai 2- Kawan kerja yang toxic 3- Tak ada career growth 4- Jobscope &amp; beban kerja yang belambak 5- Job mismatch 6- Management merepek 7- Kebajikan pekerja diabaikan 8- Income jadi rider lagi tinggi,ramai henti gaji kurang harga kawan jahat beban repek kebaji abai
Pindah-pindah kantor dalam waktu dekat bisa bikin gaji naik cepat tapi mungkin bukan strategi yang terbaik untuk jangka panjang. Sebuah utas tentang perspektif HRD dan perusahaan terhadap hal tersebut: https://t.co/9TkEeQ7SdJ,kantor waktu dekat gaji naik cepat strategi jangka buah utas perspektif hadap
Work! Resign karena boss yg toxic pas pindah 3 bulan kemudian si boss ikut pindah ke kantor baru dan jadi boss lagi,jahat kantor
Bener ya ternyata alesan orang resign kebanyakan karena lingkungan kerja yang toxic... Tpi yang aku bayangin tuh gak separah cerita mbak ini sih ternyata ada yg begitu Work! https://t.co/SeA7ATocXS,nyata jahat bayang parah mbak nyata
culture shock kerja kantoran : lembur ga dibayar bahkan pulang malem itu adalah sebuah budaya haram hukumnya pulang on time di pabrik jam 16.00 itu ada bel pulang dan semua karyawan pulang (pergantian shift). work! https://t.co/NkFLB8jxbK,kantor lembur bayar pulang malam buah budaya haram hukum pulang pabrik pulang karyawan pulang ganti
Sama mungkin jangan lompat lompat dulu. Kalo company lu relatif stabil dan udah cetak revenue stay aja dulu disana sampai badai reda. Kan ga asik ya udah goreng gaji pindah company eh 3 bulan kemudian kena layoff,lompat lompat relatif stabil cetak badai reda asik goreng gaji kena
Diceritain temen dia resign dari RSUD luar jawa terus mau kerja di Jawa dengan alasan gaji yang diberikan tidak sesuai dengan beban kerja dan ketika mau resign dipersulit karena dokter disana dikit (dia warlok sana). Yaaaa jadi gimana mau pemerataan dokter kalau problemnya gitu.,teman rsud jawa jawa gaji sesuai beban sulit dokter dikit perata dokter problem
Barusan temen recruiter (Japanese) cerita: perusahaan Jepang jaman sekarang banyak yang ga mempermasalahkan berapa kali kita pindah kerja. Selama kita punya alasan yang jelas ga akan di-judge ga loyal kutu loncat dsb. Maybe this is why I had no problem in changing jobs.,barusan teman jepang jaman masalah loyal kutu loncat problem
Alasan pengen bgttttt pindah dept di tempat kerja karena selalu di kasih job punya orang lain selalu di suruh backup orang lain padahal kerjaan sendiri aja blm selesai mana kalo ga masuk ga ada samsek yang backup salary lebih kecil dari yang lain karena katanya masih baru,tempat kasih suruh selesai gaji kecil
Antara sebab lain kenapa ramai berhenti kerja selain dari sebab gaji: 1- Kurang dihargai 2- Kawan kerja yang toxic 3- Tak ada career growth 4- Jobscope &amp; beban kerja yang belambak Apa pendapat korang?,ramai henti gaji kurang harga kawan jahat beban
Di dunia kerja kantoran kesalahan kerja bisa dipecat &amp; hilang gaji bulanan. Kalau di sana kerja gak bener sampai hilang nyawa cuma pindah tugas &amp; tetep gajian. Enak bener~,dunia kantor salah pecat hilang gaji hilang nyawa tugas gaji enak
Nak tukar career? Prepare 6 perkara ni dulu. 1- Bersedia untuk dapat gaji yang lebih rendah. 2- Research pasal jawatan tu 3- Set satu matlamat 4- Kembangkan skills 5- Customise resume 6- Sediakan jawapan bila ditanya kenapa nak tukar kerjaya masa dalam interview nanti.,tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar
@worksfess Jadi alasan kamu mau pindah kerja emang cuma karena gajinya aja? Kalo iya yaudah kalo engga ya orang pindah tempat kerja ga selalu karena gaji lebih tinggi tapi bisa juga buat pengembangan diri lingkungan dll. Imo kalo kamu nyesel ya berarti kamu ngerasa lebih worth it yg baru,gaji tempat gaji kembang sesal arti rasa
Kr! Aku ada undangan interview nanti sabtu tp kondisi aku ini belum resign ya. Kalo nanti ditanya alasan pindah kerja apa ya? Soalnya bru kerja 3 bulan. (Alasan sbnrnya karena gaji nya g ngotak),undang sabtu kondisi gaji
@txtdrakuntansi @txtdrlinkediin padahal perlu ditelusuri sih itu pindah2nya kenapa misalnya dibayar underpaid lingkungan kerja toxic worload ga ngotak time management ga bagus masa msh maksain bertahan? keburu depresi duluan anak orang,telusur bayar jahat bagus paksa tahan keburu depresi
Cth jawapan betul: Saya resign sebab saya nak dapatkan peningkatan career seiring dengan kemampuan yang saya ada. Dan saya juga berharap di syarikat baru nanti akan ada sistem kenaikan gaji yang sesuai dengan gaji pekerja. ,tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji
5 SEBAB KORANG KENA BERHENTI KERJA SEKARANG JUGAK I dapat banyak sangat DM saying dorang stress kerja kat current company. And i perasan ramai jugak kat twitter rasa benda yang sama. So kalau korang terfikir nak berhenti kerja tapi masih teragak-agak This is a sign for you,kena henti dorang stres peras ramai rasa benda henti
Alasan saya untuk bekerja di luar negara adalah kerana nak ambil ilmu &amp; pengalaman sebanyak mungkin disini (UK) dan cuba salurkan kembali ke Malaysia. Saya tak kejar gaji tak kejar faedah atau gaya hidup. Selain itu...,rana ambil ilmu alam salur malaysia kejar gaji kejar faedah gaya hidup
Cth jawapan betul: Saya resign sebab saya nak dapatkan peningkatan career seiring dengan kemampuan yang saya ada. Dan saya juga berharap di syarikat baru nanti akan ada sistem kenaikan gaji yang sesuai dengan gaji pekerja. ,tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji
Tips jawab soalan Why do you want to leave your current company? Cara salah 1: Sebab boss saya ni jenis pilih kasih la Cara salah 2: Sebab saya rasa bosan dah kerja kat company sekarang Cara salah 3: Sebab gaji saya kena potong sejak tahun lepas,tips salah jenis pilih kasih salah rasa bosan salah gaji kena potong lepas
Acapkali pekerja diarahkan tulis surat resign apabila pekerja mengutarakan masalah yang dialami ditempat kerja ketidakpuasan hati terhadap skop kerja dan jadual melebihi masa dibayar gaji bukan seperti dijanjikan dipindahkan dan diturunkan pangkat tanpa sebab. THREAD,acapkali arah tulis surat utara masalah alami tempat ketidakpuasan hati hadap skop jadual bayar gaji janji turun pangkat
@hrdbacot Di tempat yg baru belum tentu sebaik yg kamu pikirkan. Learn how to rest not to quit. Tapi kalo menurut kamu tempat awal bener2 ga bisa buat kamu berkembang dan ga baik buat kesehatan. Maka pilihan 2 bisa jadi pilihan yg baik,tempat tempat kembang sehat pilih pilih
Klo ngomong ke mama mau pindah kerja dgn alasan gaji tuh emak gw auto ceramah takutnya ke enakan kerja jd lupa jodoh ,omong gaji emak auto ceramah takut enak lupa jodoh
work! aku september kemarin akhirnya beraniin diri buat resign karena atasan toxic dan kerja di kantor baru... di kantor baru ngerasa seneng banget banget karena atasanku baik banget... dapet ginian dr atasan jd mau nangis https://t.co/MC1ZduDHYd,september kemarin jahat kantor kantor rasa senang menang
Kalo alasan ak pindah kerjaan krn di tempat kerja baru bisa lbh leluasa utk mnjalankan perintah agama tapi gajinya gak berubah gapapa kan?,tempat leluasa perintah agama gaji ubah
@worksfess Usahakan minimal kerja 1 tahun sblm putuskan pindah spy nggak dibilang kutu loncat. Alasan nggak ada jenjang karir udah pas buat pindah kerja. Fasilitas mess segitu setara brp kalau kos di tempat kerja baru? 2jt? At least cari gaji yg 6 5jt lah kalau mau pindah.,minimal putus kutu loncat jenjang karir fasilitas tara tempat gaji
Mau cerita Ada seorang pemimpin cewe ni salary perbulannya gilagila 2 digit kadang tembus 3. Satu waktu req ke bagian keuangan untuk pindah bank dengan alasan kalau masuk ke bank yg biasa dipake gajian tu abis mulu karena yg pegang suaminya. Menurut info suaminya ga kerja,pimpin gaji digit kadang tembus waktu uang bank bank pakai gaji habis pegang suami info suami
@xolovelyody @Naevis_The_Vace Cara pikirnya kaya orang ga pernah kerja ya. Pindah kerjaan itu wajar. Nyari salary lebih bagus nyari lingkungan kerja lebih bagus dan banyak alasan lain orang pindah kerja. Klo gw si malu ya punya pikiran cetek gitu ,wajar gaji bagus bagus malu cetek
Work! Alasan kalian resign dan pindah kerja ke tempat lain meskipun dapet gaji dibawahnya.,tempat gaji
@hrdbacot Gw lupa terus jawaban jika ditanya alasan pindah kerja. Nah klo alasan kenapa minta naik gaji gw hapal.,lupa naik gaji hapal
Wrk! Aku ada undangan interview nanti sabtu tp kondisi aku ini belum resign ya. Kalo nanti ditanya alasan pindah kerja apa ya? Soalnya bru kerja 3 bulan. (Alasan sbnrnya karena gaji nya g ngotak),undang sabtu kondisi gaji
/jbrfess/ Ada tawaran kesempatan kerja di sekolah A padahal posisi ku masih baru diterima dan mengajar di sekolah B (tapi ga ada kontrak) Dan kyk nya gajinya lebih besar di A aku pengen pindah Alasan ke kepsek B yg logis apa ya?,tawar sekolah posisi ajar sekolah kontrak gaji besar kepsek logis
Oke alasan knp akuu pindah tempat pkl : 1. Apaa yg dibilang pas aku dateng kesana tidak sesuai dengan kenyataan yg ada terutama masalah jam kerja kadang nih sy training dri jm 9 pagi bisa bisa jm 9 malem bru pulang gila ga tuh anak trainingan kerja 12 jam mana ga dapet apa-,tempat sesuai nyata utama masalah kadang pagi malam pulang gila
@worksfess Gak salah sebenernya kerja ya pilihannya cari duit / kenyamanan atau cari pelajaran / pengalaman. Kalo masih muda baiknya yang ke 2. Saran aja kalo emang mau cari tempat baru pastiin tempat yang baru ini gak toxic. Kalo udah confirm dapet baru resign jangan sampe jobless.,salah pilih duit nyaman ajar alam muda saran tempat tempat jahat
@worksfess Salah satu alasan utama orang pindah kerja adalah mengenai gaji. Juga jenjang karir dan lingkungan kerja. Kalau ngomong lingkungan kerja kemungkinan menjelekkan itu besar. Bisa bilang kalau gaji belum pas. Atau jenjang karir di perusahaan baru lebih menjanjikan,salah utama kena gaji jenjang karir omong jelek besar gaji jenjang karir janji
#Foto Wacana PNS bisa Work From Anywhere jadi buah bibir. Apa lagi kinerja PNS sering jadi sorotan karena kerap kepergok ngeluyur saat jam kerja. Ini contohnya. Duh! https://t.co/hlotG2NfKl,wacana buah bibir sorot kerap pergok contoh
@kotakmakan Better salary/benefits dan memanfaatkan kondisi job market yang masih memungkinkan buat level up karir dengan pindah perusahaan. Ini juga valid dan nggak perlu dijudge macam2 ,manfaat kondisi level karir valid
Cth jawapan betul: Saya resign sebab saya nak dapatkan peningkatan career seiring dengan kemampuan yang saya ada. Dan saya juga berharap di syarikat baru nanti akan ada sistem kenaikan gaji yang sesuai dengan gaji pekerja. ,tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji
Cth jawapan betul: Saya resign sebab saya nak dapatkan peningkatan career seiring dengan kemampuan yang saya ada. Dan saya juga berharap di syarikat baru nanti akan ada sistem kenaikan gaji yang sesuai dengan gaji pekerja. ,tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji
Kena tanya diri ya kenapa nak tukar. Bukan sekadar untuk gaji saja. Kena lihat juga faktor lain. -peluang kerjaya -staf benefit (insuran untuk staf cuti tahunan balance) -masa (kerja tempat lain kena angkut isteri juga ke? Dah tambah kos pengangkutan) Buat senarai pro and cons,kena tukar gaji kena lihat faktor peluang staf staf cuti tempat kena angkut isteri angkut senarai
@nikakmal00 1) Dekat dengan rumah (around 15 minit/ boleh balik masa lunch) 2) HR and boss agak flexible (nak cuti/ masuk lambat/half day tak jadi isu) 3) Staff and environment office tak toxic 4) Gaji ok utk komitmen setakat ni.,dekat rumah cuti staff jahat gaji komitmen takat
@worksfess pls bikin rekening sendiri dan ngekos. ibu kamu di tf aja perbulan. boong demi kebaikan gpp alasan pindah kerja dan gaji lebih dikit dari yg kemaren gt,rekening bohong gaji dikit kemarin
aku cewe kerja baru 5 hari - pulang jam 6 sore - bos galak - selama jam kerja ga boleh main hp - sabtu masuk - tgl merah masuk - jarak rumah ke kantor 23km kerja baru 4 hari dan takut gabisa work! life balence karena mnrt ku itu penting tanggapan kaliaj gimana?,pulang sore galak main sabtu tanggal merah jarak rumah kantor takut tanggap
@k_izzuddin Lompat je kalau better opportunity. Saya ada kenal kawan saya sorang ni dalam 2 tahun lompat 4 company setiap 6 bulan dia tukar macam tukar baju. Last company tu company besar dapat position okay gaji okay terus dia stay sampai sekarang haha.,lompat kenal kawan sorang lompat tukar tukar baju besar gaji
Pelaksanaan ini yang sepatutnya berkuat kuasa 1 September 2022 ditangguhkan. Cuti bersalin daripada 60 hari ke 98 hari Cuti paterniti 7 hari Waktu kerja mingguan 48 jam kepada 45 Ia selepas kerajaan memutuskan pindaan Akta Kerja 1955 ditangguhkan ke 1 Januari 2023.,laksana patut kuat kuasa september tangguh cuti salin cuti waktu minggu lepas raja putus pinda akta tangguh januari
Keputusan RESIGN dan pindah kerjaan dngn gaji lebih rendah tpi sebagai gantinya mental kamu jauh lebih sehat tingkat stress terkendali dan kmu jauh lebih banyak wktu buat bertemu klrga atau mendampingi tumbuh kembang buah hati.Itu bisa jadi salah satu keputusan bijak di hidup,putus gaji rendah ganti mental jauh sehat tingkat stres kendali jauh waktu temu keluarga damping tumbuh kembang buah salah putus bijak hidup
Saat ada staff resign ada bos yang bilang dalam hati Mau makan apa kau keluar dari perusahaan ku. Coba aja cari kerja. Susah jaman sekarang bisa kerja dengan kemampuan kayak gitu. Dasar gak bisa bersyukur. Paling juga ntar balik lagi ngemis kerjaan ke sini Saat mau resign ,staff hati makan susah jaman mampu dasar syukur entar
work! ternyata resign tuh seribet ini ya? btw ini ak resign karna lingkungan kerja yg toxic tpi alasan ke beliau adalah sdh tdk cocok lgi dgn perusahaan dan ingin fokus studi dan jg ak ga ada ttd kontrak apapun. Hrsnya wajar ya ak minta resign karna hitungannya msih probation? https://t.co/3uYE1yxq0Q,nyata jahat beliau cocok fokus studi kontrak wajar hitung
Dulu saya pernah bekerja sebagai penjawat awam gred N17 (sekarang N19) selama 6 tahun. Apabila saya buat keputusan untuk berhenti kerja maka saya telah dinasihatkan oleh CC (chief clerk gred N22) supaya jangan berhenti atas alasan sayang kerja terjamin dan takut jika perniagaan https://t.co/JZXbJQqGpq,jawat awam putus henti nasihat henti sayang jamin takut niaga
 Kalau GB tak approve saya pindah saya akan berhenti jadi cikgu aku kata pada GB Aku posting di pedalaman 3 6 jam perjalanan kereta 2 jam perjalanan laut Baru sampai sekolah. Persekitaran cantik Budaya kerja santai Tapi burnout Why?,henti cikgu posting jalan kereta jalan laut sekolah cantik budaya santai
Bnyak orng yg sebenarnya tau &amp; ngerasa di tempat kerjaannya itu gak cocok dgn dia entah kurang nyaman toxic hingga beda visi tapi gak semudah itu untuk bilang resign karena bnyak cicilan yg kudu dilunasi hingga kebutuhan anggota keluarganya semangat pejuang rupiah kuat2 ya.,rasa tempat cocok kurang nyaman jahat beda visi mudah cicil kudu lunas butuh anggota keluarga semangat juang rupiah
